"","pleiades_title","n"
"649","Tipasa",1
"650","Tomis",1
"651","Torreparedones",1
"652","Tractus Umbriae",1
"653","Traianoupolis",1
"654","Tralleis (In Lydia)",1
"655","Trerus/Tolerus (River)",1
"656","Tricorn(i)enses",1
"657","Trinobantes",1
"658","Tripolis",1
"659","Trump(i)lini",1
"660","Tullum",1
"661","Tusca (River)",1
"662","Tyana/Col. Aurelia Antoniniana",1
"663","Uccula",1
"664","Ucubi/Col. Claritas Iulia",1
"665","Ulpia Traiana Sarmizegetusa",1
"666","Ulpiana",1
"667","Urvinum Mataurense",1
"668","Utus",1
"669","Uzita",1
"670","Vangiones",1
"671","Varciani",1
"672","Vardagate",1
"673","Vatl/Vetulonia",1
"674","Veii",1
"675","Venafrum",1
"676","Vernas",1
"677","Verulae",1
"678","Vesunna",1
"679","Viennensis (late Roman province)",1
"680","Vorovum Minor",1
"681","Zoelae",1
