,id,hd_nr,origo,origo_clean,pleiades_id,pleiades_title_list,pleiades_Latitude,pleiades_Longitude,pleiades_title,MachineGeocoded,PossiblePlacename1,Note,Source,Lat1,Long1,Certainty,SourceURL(e.g. Pleiades id number or URL),PossiblePlace2,Note,Lat2,Long2,Link_or_Ref
4330,HD001924/1,HD001924,Mediolanensis*,Mediolanensis,138458,,45.744175,-0.633389,Mediolanum,,Mediolanum,,Pleiades,46.5608687,2.1962014,uncertain (another good variant exists),https://pleiades.stoa.org/places/138459,Mediolanum,,52.967,-2.681,https://pleiades.stoa.org/places/79597
4426,HD001973/1,HD001973,Roma,Roma,423025,['Roma'],41.891775,12.486137,Roma,Y,,,Pleiades,,,certain,,,,,,
4505,HD002004/1,HD002004,Verona,Verona,383816,['Verona'],45.44212955,10.99573601,Verona,Y,,,Pleiades,,,certain,,,,,,
4541,HD002023/1,HD002023,natus in Dardania+,in Dardania,991367,,43.316295,21.893884,Dardania (Province),,,,Pleiades,,,certain,,,,,,
4610,HD002045/6,HD002045,Pannonius*,Pannonius,1001905,,47.5,17.5,Pannonia,,,,Pleiades,,,certain,,,,,,
4633,HD002055/1,HD002055,Berua,Berua,397889,['Berua'],,,Berua,,,,Pleiades,,,certain,,,,,,
4640,HD002058/1,HD002058,Vicetia,Vicetia,393513,['Vicetia'],45.545773,11.540277,Vicetia,Y,,,Pleiades,,,certain,,,,,,
4660,HD002070/1,HD002070,Luco*,Luco,236525,,43.0106145,-7.5570105,Lucus Augusti,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
4739,HD002091/1,HD002091,ex regione Scadiesiana vico,Scadiesiana vico,20595,,62.5,7.5,Scandinavia/Scandza,,,,Pleiades,,,wild guess,,,,,,
4771,HD002111/1,HD002111,Trever*,Trever,109390,,49.75356779,6.379439164,Treveri,Y,,,Pleiades,,,certain,,,,,,
4772,HD002111/2,HD002111,Trever*,Trever,109390,,49.75356779,6.379439164,Treveri,Y,,,Pleiades,,,certain,,,,,,
4803,HD002125/5,HD002125,Ovilavis,Ovilavis,118901,,48.156643,14.024611,Ovilava,,,,Pleiades,,,certain,,,,,,
4806,HD002127/1,HD002127,Artigiensis+,Artigiensis,255990,,38.722599,-5.545601,Artigi,,,,Pleiades,,,wild guess,,,,,,
