,id,hd_nr,origo,origo_clean,pleiades_id,pleiades_title_list,pleiades_Latitude,pleiades_Longitude,pleiades_title
6812,HD003056/1,HD003056,Aquicaldensis*,Aquicaldensis,,,,,
6880,HD003096/1,HD003096,Uxamensis+ Argaelorum+,Uxamensis Argaelorum,,,,,
6899,HD003108/1,HD003108,Arausiensis+,Arausiensis,,,,,
6923,HD003126/2,HD003126,nomo Arsenoite (= nomo Arsinoite),nomo Arsenoite (= nomo Arsinoite),,,,,
6926,HD003129/1,HD003129,Aesaonensis (= Aesonensis),Aesonensis,,,,,
6979,HD003158/1,HD003158,Segoviensis*,Segoviensis,,,,,
6981,HD003159/1,HD003159,Patriciensis*,Patriciensis,,,,,
7199,HD003277/1,HD003277,Lugdunum*,Lugdunum,99003.0,['Lugdunum'],52.212,4.393,Lugdunum
7211,HD003286/1,HD003286,Dalmata*,Dalmata,,,,,
7229,HD003296/1,HD003296,Arbuensis,Arbuensis,,,,,
7284,HD003317/2,HD003317,Cumis?,Cumis,,,,,
7378,HD003374/1,HD003374,Cremona,Cremona,383628.0,['Cremona'],45.133639,10.026149,Cremona
7379,HD003374/2,HD003374,Cremona,Cremona,383628.0,['Cremona'],45.133639,10.026149,Cremona
7394,HD003382/1,HD003382,Bergomi,Bergomi,,,,,
7585,HD003462/1,HD003462,Calenos,Calenos,,,,,
7690,HD003513/1,HD003513,Bononia,Bononia,393421.0,"['Felsina', 'Bononia']",44.4945737,11.3455467,Felsina/Bononia
7727,HD003535/1,HD003535,Bessus,Bessus,,,,,
7802,HD003571/2,HD003571,Badronensis*,Badronensis,,,,,
7890,HD003625/1,HD003625,gente* Dareus,Dareus,,,,,
7931,HD003652/1,HD003652,Cluniensis*,Cluniensis,,,,,
7941,HD003658/1,HD003658,Augusta* Bagiennorum*,Augusta Bagiennorum,383578.0,['Augusta Bagiennorum'],44.5566760869,7.85034051918,Augusta Bagiennorum
7952,HD003665/1,HD003665,domo* Nemauso,Nemauso,,,,,
7953,HD003667/1,HD003667,Caesaraugustanus,Caesaraugustanus,,,,,
8019,HD003697/2,HD003697,Vianna (= Vienna),Vienna,,,,,
8025,HD003700/1,HD003700,Foro Iuli,Foro Iuli,,,,,
8030,HD003703/1,HD003703,domo Mutina,Mutina,383715.0,['Mutina'],44.647057,10.925223,Mutina
8037,HD003709/1,HD003709,[---]stia?,[---]stia,,,,,
8149,HD003756/1,HD003756,Taporus+?,Taporus,,,,,
8169,HD003765/1,HD003765,e municipio+ Sulmone,e municipio Sulmone,,,,,
8209,HD003789/1,HD003789,Florentia,Florentia,413138.0,['Florentia'],43.768755,11.256929,Florentia
8619,HD004023/1,HD004023,Septempedanus*,Septempedanus,,,,,
8700,HD004070/1,HD004070,Taporus+,Taporus,,,,,
8707,HD004073/1,HD004073,Taporus*,Taporus,,,,,
8718,HD004082/1,HD004082,Soliensis*,Soliensis,,,,,
8753,HD004104/1,HD004104,Aurgitanus,Aurgitanus,,,,,
8842,HD004150/1,HD004150,Italicus natione+,Italicus ,,,,,
8843,HD004151/1,HD004151,Alabensis,Alabensis,,,,,
8885,HD004176/1,HD004176,Segobrigensis*,Segobrigensis,,,,,
8888,HD004179/1,HD004179,Mellariensis*,Mellariensis,,,,,
8891,HD004182/1,HD004182,Mellariensis*,Mellariensis,,,,,
8898,HD004186/1,HD004186,[---]ensis,[---]ensis,,,,,
8980,HD004229/1,HD004229,Neapolis*,Neapolis,639008.0,['Neapolis'],37.965759,31.481278,Neapolis
8987,HD004235/1,HD004235,Emerita,Emerita,,,,,
