Column,origo_clean,id
530,NA,HD000278
531,NA,HD000279
532,NA,HD000280
533,NA,HD000281
534,NA,HD000282
535,NA,HD000282
536,NA,HD000283
537,NA,HD000285
538,NA,HD000286
539,NA,HD000287
540,NA,HD000288
541,NA,HD000288
542,NA,HD000288
543,NA,HD000289
544,NA,HD000289
545,NA,HD000290
546,NA,HD000291
547,NA,HD000292
548,NA,HD000292
549,NA,HD000292
550,NA,HD000292
551,NA,HD000292
552,NA,HD000293
553,NA,HD000294
554,NA,HD000295
555,NA,HD000295
556,NA,HD000296
557,NA,HD000297
558,NA,HD000298
559,NA,HD000298
560,NA,HD000299
561,NA,HD000300
562,NA,HD000300
563,NA,HD000300
564,NA,HD000301
565,NA,HD000301
566,NA,HD000301
567,NA,HD000301
568,NA,HD000301
569,NA,HD000302
570,NA,HD000303
571,NA,HD000303
572,NA,HD000304
573,NA,HD000305
574,NA,HD000305
575,NA,HD000306
576,NA,HD000306
577,NA,HD000306
578,NA,HD000307
579,NA,HD000307
580,NA,HD000308
581,NA,HD000308
582,NA,HD000309
583,NA,HD000309
584,NA,HD000310
585,NA,HD000310
586,NA,HD000311
587,NA,HD000311
588,NA,HD000312
589,NA,HD000312
590,NA,HD000312
591,NA,HD000313
592,NA,HD000314
593,NA,HD000315
594,NA,HD000316
595,NA,HD000316
596,NA,HD000317
597,NA,HD000317
598,NA,HD000318
599,NA,HD000319
600,NA,HD000319
601,NA,HD000319
602,NA,HD000319
603,NA,HD000320
604,NA,HD000320
605,NA,HD000320
606,NA,HD000321
607,NA,HD000322
608,NA,HD000322
609,NA,HD000323
610,NA,HD000324
611,NA,HD000324
612,NA,HD000325
613,NA,HD000326
614,NA,HD000327
615,NA,HD000327
616,NA,HD000327
617,NA,HD000328
618,NA,HD000328
619,NA,HD000328
620,NA,HD000328
621,NA,HD000329
622,NA,HD000330
623,NA,HD000330
624,NA,HD000330
625,NA,HD000330
626,NA,HD000331
627,NA,HD000332
628,NA,HD000333
629,NA,HD000333
630,NA,HD000334
631,NA,HD000334
632,Olisiponensis,HD000335
633,NA,HD000336
634,NA,HD000336
635,NA,HD000337
636,NA,HD000338
637,NA,HD000339
638,NA,HD000339
639,NA,HD000339
640,NA,HD000340
641,NA,HD000341
642,NA,HD000341
643,NA,HD000342
644,NA,HD000343
645,NA,HD000343
646,NA,HD000344
647,NA,HD000345
648,NA,HD000345
649,NA,HD000346
650,NA,HD000347
651,NA,HD000348
652,NA,HD000348
653,NA,HD000348
654,NA,HD000349
655,NA,HD000350
656,NA,HD000351
657,NA,HD000351
658,NA,HD000352
659,NA,HD000353
660,NA,HD000353
661,NA,HD000354
662,NA,HD000354
663,NA,HD000354
664,NA,HD000354
665,NA,HD000354
666,NA,HD000354
667,NA,HD000354
668,NA,HD000356
669,NA,HD000356
670,NA,HD000357
671,NA,HD000357
672,NA,HD000357
673,NA,HD000357
674,NA,HD000357
675,NA,HD000357
676,NA,HD000357
677,NA,HD000357
678,NA,HD000357
679,NA,HD000357
680,NA,HD000357
681,NA,HD000357
682,NA,HD000357
683,NA,HD000357
684,Varvaria,HD000358
685,NA,HD000359
686,NA,HD000359
687,NA,HD000360
688,NA,HD000361
689,NA,HD000361
690,NA,HD000362
691,NA,HD000363
692,NA,HD000363
693,NA,HD000364
694,NA,HD000364
695,NA,HD000364
696,NA,HD000365
697,NA,HD000365
698,NA,HD000365
699,NA,HD000365
700,NA,HD000365
701,NA,HD000366
702,NA,HD000366
703,NA,HD000367
704,NA,HD000367
705,NA,HD000367
706,NA,HD000367
707,NA,HD000368
708,NA,HD000368
709,NA,HD000369
710,NA,HD000369
711,NA,HD000369
712,NA,HD000369
713,NA,HD000370
714,NA,HD000371
715,NA,HD000371
716,NA,HD000371
717,NA,HD000372
718,NA,HD000372
719,NA,HD000372
720,NA,HD000372
721,NA,HD000372
722,NA,HD000372
723,NA,HD000373
724,NA,HD000374
725,NA,HD000375
726,NA,HD000375
727,NA,HD000375
728,NA,HD000375
729,NA,HD000375
730,NA,HD000375
731,NA,HD000375
732,NA,HD000375
733,NA,HD000375
734,NA,HD000375
735,NA,HD000375
736,NA,HD000375
737,NA,HD000376
738,NA,HD000376
739,NA,HD000377
740,NA,HD000378
741,NA,HD000378
742,NA,HD000378
743,NA,HD000378
744,NA,HD000378
745,NA,HD000378
746,NA,HD000379
747,NA,HD000379
748,NA,HD000379
749,NA,HD000379
750,NA,HD000379
751,NA,HD000379
752,NA,HD000380
753,NA,HD000382
754,NA,HD000383
755,NA,HD000383
756,NA,HD000384
757,NA,HD000384
758,NA,HD000384
759,NA,HD000384
760,NA,HD000385
761,NA,HD000386
762,NA,HD000386
763,NA,HD000387
764,NA,HD000387
765,NA,HD000388
766,NA,HD000389
767,NA,HD000390
768,NA,HD000390
769,NA,HD000390
770,NA,HD000392
771,NA,HD000392
772,NA,HD000392
773,NA,HD000392
774,NA,HD000393
775,NA,HD000393
776,NA,HD000393
777,NA,HD000394
778,NA,HD000394
779,NA,HD000395
780,NA,HD000395
781,NA,HD000396
782,NA,HD000396
783,NA,HD000397
784,NA,HD000397
785,NA,HD000398
786,NA,HD000398
787,NA,HD000400
788,NA,HD000400
789,NA,HD000401
790,NA,HD000401
791,NA,HD000403
792,NA,HD000403
793,NA,HD000404
794,NA,HD000404
795,NA,HD000405
796,NA,HD000406
797,NA,HD000406
798,NA,HD000406
799,NA,HD000407
800,NA,HD000408
801,NA,HD000408
802,NA,HD000408
803,NA,HD000409
804,NA,HD000409
805,NA,HD000409
806,NA,HD000409
807,NA,HD000410
808,NA,HD000410
809,NA,HD000411
810,NA,HD000412
811,NA,HD000413
812,NA,HD000413
813,NA,HD000413
814,NA,HD000413
815,NA,HD000413
816,NA,HD000414
817,NA,HD000414
818,NA,HD000414
819,NA,HD000415
820,NA,HD000415
821,NA,HD000416
822,NA,HD000417
823,NA,HD000418
824,NA,HD000418
825,NA,HD000419
826,NA,HD000419
827,NA,HD000420
828,NA,HD000421
829,NA,HD000422
830,NA,HD000422
831,Igilgili,HD000423
832,NA,HD000424
833,NA,HD000425
834,NA,HD000425
835,NA,HD000425
836,NA,HD000425
837,NA,HD000425
838,NA,HD000425
839,NA,HD000427
840,NA,HD000428
841,NA,HD000428
842,NA,HD000429
843,NA,HD000430
844,NA,HD000431
845,Sunucus,HD000432
846,NA,HD000432
847,NA,HD000432
848,NA,HD000433
849,NA,HD000433
850,NA,HD000433
851,NA,HD000434
852,NA,HD000434
853,NA,HD000434
854,NA,HD000435
855,NA,HD000435
856,NA,HD000436
857,NA,HD000436
858,NA,HD000436
859,NA,HD000437
860,NA,HD000437
861,NA,HD000438
862,NA,HD000438
863,NA,HD000439
864,NA,HD000439
865,NA,HD000439
866,NA,HD000439
867,NA,HD000440
868,NA,HD000441
869,NA,HD000441
